Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
16/12/93,26.68720167,26.68720167,26.63357701,26.66932678,78200,16,3,50,12,1993
17/12/93,26.72588604,26.83386942,26.70788881,26.81587219,104700,17,4,50,12,1993
20/12/93,26.79789121,26.86988018,26.77989397,26.85188293,68800,20,0,51,12,1993
21/12/93,26.81587639,26.81587639,26.72589022,26.76188469,205700,21,1,51,12,1993
22/12/93,26.83389009,26.95987079,26.77989836,26.94187355,410300,22,2,51,12,1993
23/12/93,26.92387199,26.97786372,26.88787751,26.92387199,533800,23,3,51,12,1993
27/12/93,26.92387029,27.06784821,26.92387029,27.06784821,447100,27,0,52,12,1993
28/12/93,27.04984296,27.13982913,27.03184572,27.12183189,880600,28,1,52,12,1993
29/12/93,27.13983002,27.15782726,27.06784108,27.08583832,266700,29,2,52,12,1993
30/12/93,27.0678476,27.0678476,26.92386969,26.9778614,219900,30,3,52,12,1993
31/12/93,27.03185099,27.06784547,26.81588414,26.83388138,312900,31,4,52,12,1993
03/01/94,26.83387362,26.86986808,26.72589022,26.76188469,960900,3,0,1,1,1994
04/01/94,26.79788601,26.86987495,26.76189153,26.86987495,164300,4,1,1,1,1994
05/01/94,26.90587475,26.94186923,26.79789131,26.92387199,710900,5,2,1,1,1994
06/01/94,26.95986648,26.97786372,26.88787751,26.92387199,201000,6,3,1,1,1994
07/01/94,26.97785491,27.10383555,26.90586597,27.08583832,775500,7,4,1,1,1994
10/01/94,27.12183427,27.40979004,27.04984532,27.40979004,593700,10,0,2,1,1994
11/01/94,27.39180274,27.39180274,27.26582205,27.35580826,295200,11,1,2,1,1994
12/01/94,27.37379533,27.37379533,27.17582574,27.26581192,158400,12,2,2,1,1994
13/01/94,27.19382858,27.2478203,27.1578341,27.19382858,244300,13,3,2,1,1994
14/01/94,27.28381589,27.35580485,27.28381589,27.30181313,137200,14,4,2,1,1994
17/01/94,27.30181313,27.33780761,27.24782141,27.30181313,17700,17,0,3,1,1994
18/01/94,27.33781052,27.373805,27.28381879,27.33781052,166400,18,1,3,1,1994
19/01/94,27.30180639,27.33780086,27.21182021,27.26581192,200800,19,2,3,1,1994
20/01/94,27.30181603,27.35580776,27.28381879,27.33781052,281100,20,3,3,1,1994
21/01/94,27.37378627,27.37378627,27.2658029,27.28380013,85600,21,4,3,1,1994
24/01/94,27.26581512,27.39179579,27.17582893,27.17582893,373800,24,0,4,1,1994
25/01/94,27.19382617,27.21182341,27.12183722,27.17582893,310400,25,1,4,1,1994
26/01/94,27.17582524,27.26581141,27.13983077,27.24781418,145100,26,2,4,1,1994
27/01/94,27.30182239,27.53578659,27.2658279,27.4997921,344500,27,3,4,1,1994
